region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brazil,State,2020-08-30,14665,399,10,22,41728.65,911.85
Brazil,State,2020-08-31,49864,639,10,22,40695.700000000004,870.15
Brazil,State,2020-09-01,44175,1159,10,22,38599.95,819.95
Brazil,State,2020-09-02,46595,1203,10,22,35494.399999999994,767.4499999999999
Brazil,State,2020-09-03,46821,871,10,22,32829.9,721.9000000000001
Brazil,State,2020-09-04,39888,847,10,22,33010.5,740.5
Brazil,State,2020-09-05,33875,607,10,22,33676.95,795.2500000000001
Brazil,State,2020-09-06,14697,457,10,22,33084.8,796.4000000000001
Brazil,State,2020-09-07,9540,322,10,22,32162.299999999996,759.0500000000001
Brazil,State,2020-09-08,18761,521,10,22,29735.899999999998,714
Brazil,State,2020-09-09,37113,1159,10,22,27117.65,671.1500000000002
Brazil,State,2020-09-10,40745,974,10,22,26182.699999999997,675.4500000000002
Brazil,State,2020-09-11,41451,847,10,22,27359.849999999995,724.5500000000001
Brazil,State,2020-09-12,30869,768,10,22,29836.749999999996,777.1500000000001
Brazil,State,2020-09-13,14019,405,10,22,32227.5,819.8499999999999
Brazil,State,2020-09-14,20325,456,10,22,32897.4,811.3000000000001
Brazil,State,2020-09-15,34739,1084,10,22,31254.15,756.2500000000002
Brazil,State,2020-09-16,37376,962,10,22,28782.500000000004,705.85
Brazil,State,2020-09-17,36399,869,10,22,27795.700000000004,688.0500000000001
Brazil,State,2020-09-18,39717,828,10,22,28950.450000000008,715.85
Brazil,State,2020-09-19,29555,681,10,22,30469.950000000004,759.1
Brazil,State,2020-09-20,15438,351,10,22,30932.650000000005,762.9000000000001
Brazil,State,2020-09-21,17325,462,10,22,30178.050000000003,737.8
Brazil,State,2020-09-22,35259,797,10,22,28414.3,699.3000000000002
Brazil,State,2020-09-23,32724,932,10,22,26140.999999999996,650.9
Brazil,State,2020-09-24,32010,794,10,22,25157.100000000002,637.75
Brazil,State,2020-09-25,32308,822,10,22,26193.550000000003,678.1500000000001
Brazil,State,2020-09-26,24715,722,10,22,27993.800000000003,725.3500000000001
Brazil,State,2020-09-27,13785,339,10,22,28794.15,733.7500000000001
Brazil,State,2020-09-28,16865,390,10,22,28172.4,708.6
Brazil,State,2020-09-29,32729,856,10,22,26521.749999999996,669.6000000000001
Brazil,State,2020-09-30,32993,984,10,22,25057.500000000004,627.1500000000001
Brazil,State,2020-10-01,35775,773,10,22,25084.65,610.1
Brazil,State,2020-10-02,32816,654,10,22,26282.350000000002,633.8000000000002
Brazil,State,2020-10-03,22732,572,10,22,27637.250000000004,670.2500000000001
Brazil,State,2020-10-04,8989,374,10,22,27885.050000000003,677.2999999999998
Brazil,State,2020-10-05,26044,393,10,22,27173.300000000003,644.6500000000001
Brazil,State,2020-10-06,31522,810,10,22,25532.000000000007,597.35
Brazil,State,2020-10-07,30932,725,10,22,23143.550000000003,549.6
Brazil,State,2020-10-08,26816,733,10,22,21465.500000000004,516.85
Brazil,State,2020-10-09,27734,654,10,22,21939.000000000004,525.0500000000001
Brazil,State,2020-10-10,23753,533,10,22,23100.350000000002,564.0500000000001
Brazil,State,2020-10-11,12189,278,10,22,23172.85,576.75
Brazil,State,2020-10-12,8633,194,10,22,22518.6,552.9
Brazil,State,2020-10-13,13354,377,10,22,21272.5,512.5
Brazil,State,2020-10-14,27837,733,10,22,19976.35,471.2
Brazil,State,2020-10-15,30423,814,10,22,19419.000000000004,460.55
Brazil,State,2020-10-16,28593,643,10,22,20102.7,480.9
Brazil,State,2020-10-17,20776,415,10,22,21592.500000000004,511.05
Brazil,State,2020-10-18,12050,235,10,22,23227.000000000004,535.9
Brazil,State,2020-10-19,16577,326,10,22,23916.249999999996,527.9
Brazil,State,2020-10-20,23763,648,10,22,22869.1,481.55
Brazil,State,2020-10-21,25853,570,10,22,21461.3,435.45
Brazil,State,2020-10-22,24765,505,10,22,21420.95,423.90000000000003
Brazil,State,2020-10-23,29912,563,10,22,22696.15,442.90000000000003
Brazil,State,2020-10-24,25064,387,10,22,24017.749999999996,467.65000000000003
Brazil,State,2020-10-25,12253,233,10,22,24553.15,475.15
Brazil,State,2020-10-26,18607,302,10,22,23948.850000000002,457.5
Brazil,State,2020-10-27,29955,525,10,22,22585.600000000002,428.5
Brazil,State,2020-10-28,28375,505,10,22,20773.55,393.49999999999994
Brazil,State,2020-10-29,26684,551,10,22,19166.25,368.65000000000003
Brazil,State,2020-10-30,24364,573,10,22,19195.100000000002,382.95
Brazil,State,2020-10-31,13166,292,10,22,20009.85,417.25000000000006
Brazil,State,2020-11-01,10187,203,10,22,19783.85,419.6000000000001
Brazil,State,2020-11-02,8249,165,10,22,18764.5,393.05000000000007
Brazil,State,2020-11-03,14581,288,10,22,17423.800000000003,361.15000000000003
Brazil,State,2020-11-04,23313,618,10,22,16067.100000000004,323.75
Brazil,State,2020-11-05,23842,603,10,22,17182.25,299.7000000000001
Brazil,State,2020-11-06,20200,271,10,22,19647.85,313.55
Brazil,State,2020-11-07,17743,228,10,22,21733.300000000003,370.50000000000006
Brazil,State,2020-11-08,10502,190,10,22,24222.600000000002,423.3
Brazil,State,2020-11-09,13412,186,10,22,25577.500000000004,443.50000000000006
Brazil,State,2020-11-10,46421,198,10,22,25228.850000000002,426.1500000000001
Brazil,State,2020-11-11,26244,574,10,22,24509.05,402.30000000000007
Brazil,State,2020-11-12,33901,933,10,22,25173.350000000006,424.09999999999997
Brazil,State,2020-11-13,38715,576,10,22,27262.000000000004,474.8500000000001
Brazil,State,2020-11-14,26277,734,10,22,29591.85,526.15
Brazil,State,2020-11-15,13905,140,10,22,30342.149999999998,565
Brazil,State,2020-11-16,15741,257,10,22,30162.850000000002,569.95
Brazil,State,2020-11-17,35488,678,10,22,29562.899999999998,521.35
Brazil,State,2020-11-18,34530,755,10,22,27736.15,472.55
Brazil,State,2020-11-19,35981,647,10,22,27120.8,456.15
