region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Spain,Province,2021-06-20,48.6716514914661,-0.628275436845198,0.00517468828886129,2.71351489831043e-4,0.999983398510472,0.999983398510472,cases,fixed,90
Spain,Province,2021-06-21,48.675853559416304,-0.628495787045281,0.00526605899441012,2.76142004407998e-4,0.999982819225047,0.999982819225047,cases,fixed,90
Spain,Province,2021-06-22,48.6801115061536,-0.628719066805539,0.00535882808349008,2.81005819644214e-4,0.99998222131433,0.99998222131433,cases,fixed,90
Spain,Province,2021-06-23,48.6844250337731,-0.628945260481935,0.00545263449643529,2.85924001746576e-4,0.99998160678921,0.99998160678921,cases,fixed,90
Spain,Province,2021-06-24,48.6887943560587,-0.629174379264854,0.00554728360738827,2.90886344535288e-4,0.999980976678209,0.999980976678209,cases,fixed,90
Spain,Province,2021-06-25,48.6932180725403,-0.629406349694811,0.00564242134863394,2.95874281222211e-4,0.999980333201992,0.999980333201992,cases,fixed,90
Spain,Province,2021-06-26,48.6976987343574,-0.629641305522253,0.00573762522952813,3.00865657320374e-4,0.999979679237741,0.999979679237741,cases,fixed,90
Spain,Province,2021-06-27,48.7022402199372,-0.62987945009432,0.00583242526157426,3.05835827947696e-4,0.999979018200327,0.999979018200327,cases,fixed,90
Spain,Province,2021-06-28,48.7068395956548,-0.630120629551293,0.00592616997704353,3.10750632280087e-4,0.999978355016868,0.999978355016868,cases,fixed,90
Spain,Province,2021-06-29,48.711491485404,-0.630364561956418,0.00601805568998738,3.15567928044795e-4,0.999977696015376,0.999977696015376,cases,fixed,90
Spain,Province,2021-06-30,48.7161882825838,-0.630610848413765,0.0061071682591389,3.20239781544951e-4,0.999977048676983,0.999977048676983,cases,fixed,90
Spain,Province,2021-07-01,48.720924236811,-0.630859187358639,0.00619232115023599,3.24703976289356e-4,0.999976422914592,0.999976422914592,cases,fixed,90
Spain,Province,2021-07-02,48.7256945326209,-0.63110932624901,0.00627217053971317,3.2889004882282e-4,0.999975830271038,0.999975830271038,cases,fixed,90
Spain,Province,2021-07-03,48.7304974178338,-0.631361173182373,0.00634601326300422,3.32761130262137e-4,0.999975277709225,0.999975277709225,cases,fixed,90
Spain,Province,2021-07-04,48.7353334806779,-0.631614758983259,0.00641341713995479,3.36294561515684e-4,0.999974770177324,0.999974770177324,cases,fixed,90
Spain,Province,2021-07-05,48.7401941555875,-0.631869634478315,0.0064733202753535,3.39434664048533e-4,0.999974317560969,0.999974317560969,cases,fixed,90
Spain,Province,2021-07-06,48.7450660236161,-0.632125096007723,0.00652469354792041,3.42127478496797e-4,0.999973929549717,0.999973929549717,cases,fixed,90
Spain,Province,2021-07-07,48.7499341202573,-0.632380358872475,0.00656640393118408,3.44313597784605e-4,0.999973616637066,0.999973616637066,cases,fixed,90
Spain,Province,2021-07-08,48.7547841172381,-0.632634671743873,0.0065975198348956704,3.45944177929378e-4,0.999973387570669,0.999973387570669,cases,fixed,90
Spain,Province,2021-07-09,48.7596004531512,-0.632887218639628,0.0066171631764668,3.46973181204249e-4,0.999973250383811,0.999973250383811,cases,fixed,90
Spain,Province,2021-07-10,48.7643781494998,-0.633137738511311,0.00662503785453796,3.47385086707382e-4,0.999973208050868,0.999973208050868,cases,fixed,90
Spain,Province,2021-07-11,48.7691156511281,-0.633386149818319,0.00662095483092057,3.47169987575271e-4,0.999973262203273,0.999973262203273,cases,fixed,90
Spain,Province,2021-07-12,48.7737981897613,-0.633631678178983,0.00660407943252827,3.46284123266008e-4,0.999973419089098,0.999973419089098,cases,fixed,90
Spain,Province,2021-07-13,48.7784085755592,-0.633873422244118,0.00657367691384333,3.44688973416533e-4,0.999973683491261,0.999973683491261,cases,fixed,90
Spain,Province,2021-07-14,48.7829287923526,-0.634110437344727,0.00652916401272991,3.42353961073947e-4,0.999974058227228,0.999974058227228,cases,fixed,90
Spain,Province,2021-07-15,48.7873417761481,-0.634341828749086,0.00647018760063248,3.39260576558622e-4,0.999974543479472,0.999974543479472,cases,fixed,90
Spain,Province,2021-07-16,48.7916302561478,-0.634566690892334,0.00639666972166548,3.35404738881658e-4,0.99997513645477,0.99997513645477,cases,fixed,90
