region,subregion,date,distribution_name,information,scale,inequality,shape,aic,bic,meanlog,sdlog,log-likelihood
Missouri,County,2021-11-15,burr,cum_cases,8126.56360576498,52.6373637266792,0.0457171796370436,2215.97096374364,2224.20576012873,NA,NA,NA
Missouri,County,2021-11-15,burr,cum_deaths,113.678667987759,44.3172035809335,0.0524597062358833,1247.63973108548,1255.87452747057,NA,NA,NA
Missouri,County,2021-11-15,gamma,cum_cases,7589.00869565215,NA,0.70421849478858,2278.18158661293,2283.67145086965,NA,NA,NA
Missouri,County,2021-11-15,gamma,cum_deaths,107.339130434783,NA,0.698189356083772,1298.15490736133,1303.64477161805,NA,NA,NA
Missouri,County,2021-11-15,lognormal,cum_cases,NA,NA,NA,2216.91566151654,2442.91566151654,8.07699840467211,1.13364348473414,1106.45783075827
Missouri,County,2021-11-15,lognormal,cum_deaths,NA,NA,NA,1245.65095914246,1471.65095914246,3.81009300207007,1.18465512569897,620.825479571229
Missouri,County,2021-11-15,weibull,cum_cases,5892.21281388217,NA,0.749318870376415,2262.24178978927,2267.731654046,NA,NA,NA
Missouri,County,2021-12-01,burr,cum_cases,8505.53368171031,52.2038426381334,0.0463498676218188,2224.91249510454,2233.14729148963,NA,NA,NA
Missouri,County,2021-12-01,burr,cum_deaths,148.224870048949,36.0862298564053,0.0676572128610406,1298.27394198257,1306.50873836766,NA,NA,NA
Missouri,County,2021-12-01,gamma,cum_cases,7916.64347826087,NA,0.710643775365528,2288.49667335468,2293.9865376114,NA,NA,NA
Missouri,County,2021-12-01,gamma,cum_deaths,134.295652173913,NA,0.803107512231716,1357.06463098978,1362.5544952465,NA,NA,NA
Missouri,County,2021-12-01,lognormal,cum_cases,NA,NA,NA,2226.52840065493,2452.52840065493,8.12808946047043,1.12315353681039,1111.26420032747
Missouri,County,2021-12-01,lognormal,cum_deaths,NA,NA,NA,1302.36753201778,1528.36753201778,4.16142697106745,1.06685061071591,649.183766008888
Missouri,County,2021-12-01,weibull,cum_cases,6175.78271751211,NA,0.752553660982656,2272.74934635135,2278.23921060808,NA,NA,NA
Missouri,County,2021-12-15,burr,cum_cases,8937.57815217985,55.2437108680515,0.0438513009304466,2196.28749251782,2204.46965597396,NA,NA,NA
Missouri,County,2021-12-15,burr,cum_deaths,151.627877607673,35.7854330583518,0.0682352349832319,1281.06761163845,1289.24977509459,NA,NA,NA
Missouri,County,2021-12-15,gamma,cum_cases,8326.32743362829,NA,0.706688882616701,2259.81289800361,2265.26767364104,NA,NA,NA
Missouri,County,2021-12-15,gamma,cum_deaths,137.513274336283,NA,0.796663440864413,1338.57803835048,1344.0328139879,NA,NA,NA
Missouri,County,2021-12-15,lognormal,cum_cases,NA,NA,NA,2198.20925171934,2420.20925171934,8.17313308920867,1.12391641372906,1097.10462585967
Missouri,County,2021-12-15,lognormal,cum_deaths,NA,NA,NA,1284.9621922986,1506.9621922986,4.17833726379394,1.07325730225374,640.4810961493
Missouri,County,2021-12-15,weibull,cum_cases,6470.22927402928,NA,0.750183965417023,2244.11430720449,2249.56908284192,NA,NA,NA
Missouri,County,2022-01-01,burr,cum_cases,9419.06187382633,54.4681340763002,0.044936076450482,2244.24715844177,2252.48195482686,NA,NA,NA
Missouri,County,2022-01-01,burr,cum_deaths,154.530504976384,37.6089427560337,0.0649730201846794,1306.85027898862,1315.08507537371,NA,NA,NA
Missouri,County,2022-01-01,gamma,cum_cases,8755.7652173913,NA,0.705025105473323,2311.15012331614,2316.63998757286,NA,NA,NA
