region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Kentucky,County,285,1,0.0035087719298245615,0.793772535386389,285,-0.03163499266184511,0.34648851571681216,0.04902534296936833,0.06325951368217576,2,16
Kentucky,County,352,1,0.002840909090909091,0.5529095656952994,352,0.00411315639365184,-0.036086596668397086,0.04902534296936833,0.06325951368217576,3,16
Kentucky,County,171,1,0.005847953216374269,0.5166506256357521,171,0.03703923000356496,0.20914142881500153,0.04902534296936833,0.06325951368217576,4,16
Kentucky,County,196,1,0.00510204081632653,0.5126057649053111,196.00000000000003,0.014310863539027663,0.4009378106002295,0.04902534296936833,0.06325951368217576,5,16
Kentucky,County,198,1,0.005050505050505051,0.486104137125271,197.99999999999997,0.04730767249449247,0.121116972769025,0.04902534296936833,0.06325951368217576,6,16
Kentucky,County,270,1,0.003703703703703704,0.438008787635151,270,0.043576352615722014,0.09926547273468261,0.04902534296936833,0.06325951368217576,7,16
Kentucky,County,186,1,0.005376344086021506,0.42305253657406305,185.99999999999997,-0.0461229067604369,7.843636989632863e-4,0.04902534296936833,0.06325951368217576,8,16
Kentucky,County,379,1,0.002638522427440633,0.4091624370663711,379,0.04383224428029875,-0.055403912568203983,0.04902534296936833,0.06325951368217576,9,16
Kentucky,County,398,1,0.002512562814070352,0.39706792140737657,398,0.021459252866746714,-0.05560627414088576,0.04902534296936833,0.06325951368217576,10,16
Missouri,County,416,1,0.002403846153846154,0.5804747847217165,416,0.01523313130025783,-0.01822145895275118,0.02371204781855339,0.035844965562892135,1,94
Missouri,County,123,1,0.008130081300813009,0.533622739124385,122.99999999999999,-0.012992525907024155,0.14141721288957598,0.02371204781855339,0.035844965562892135,2,94
Missouri,County,319,1,0.003134796238244514,0.4321529913081484,319,0.006467205405958298,0.19814548017424055,0.02371204781855339,0.035844965562892135,3,94
Missouri,County,94,1,0.010638297872340425,0.41276468125181154,94,0.020067202314775046,-0.004336069913344454,0.02371204781855339,0.035844965562892135,4,94
Missouri,County,320,1,0.003125,0.4086624875241213,320,-0.02349050378402706,-0.02995770918998536,0.02371204781855339,0.035844965562892135,5,94
Missouri,County,385,1,0.0025974025974025974,0.40421940858547784,385,-0.018016253108043057,-0.0010557678412214666,0.02371204781855339,0.035844965562892135,6,94
Missouri,County,181,1,0.0055248618784530384,0.33403191710032326,181,0.021265075879334017,-0.028286141640472273,0.02371204781855339,0.035844965562892135,7,94
Missouri,County,182,1,0.005494505494505495,0.3318666361804055,182,-0.0021652809199177447,-0.02343035679925176,0.02371204781855339,0.035844965562892135,8,94
Missouri,County,434,1,0.002304147465437788,0.33034581516673583,434,-3.6995525114025263e-4,0.14137748613651718,0.02371204781855339,0.035844965562892135,9,94
Missouri,County,372,1,0.002688172043010753,0.3220723942670357,371.99999999999994,0.01938689306526037,0.00239977513753159,0.02371204781855339,0.035844965562892135,10,94
North Carolina,County,307,1,0.003257328990228013,0.8189805090906078,307,-0.019530430848653357,0.6731405971718721,0.03678465018219264,0.055576457912814424,1,31
North Carolina,County,31,1,0.03225806451612903,0.5495611170902526,31,-0.002503024830831646,0.04209218077751975,0.03678465018219264,0.055576457912814424,2,31
North Carolina,County,318,1,0.0031446540880503146,0.4359395359879021,318,0.012993344369854276,0.12210731982166029,0.03678465018219264,0.055576457912814424,3,31
North Carolina,County,278,1,0.0035971223021582736,0.4238071198770707,278,0.018277523446373622,0.11100564170768795,0.03678465018219264,0.055576457912814424,4,31
North Carolina,County,40,1,0.025,0.40692129703436036,40,0.033593057036659824,0.16168009568152614,0.03678465018219264,0.055576457912814424,5,31
North Carolina,County,48,1,0.020833333333333332,0.381023961813498,48,0.027864416865043706,0.026086336823580636,0.03678465018219264,0.055576457912814424,6,31
North Carolina,County,221,1,0.004524886877828055,0.3761242220111609,220.99999999999997,0.0026582140876522664,-0.03549521617032858,0.03678465018219264,0.055576457912814424,7,31
North Carolina,County,322,1,0.003105590062111801,0.359014963866951,322,-0.030846336254245377,-0.002284043559484583,0.03678465018219264,0.055576457912814424,8,31
North Carolina,County,323,1,0.0030959752321981426,0.35709505489829757,323,-0.0019199089686534054,0.02892642728559197,0.03678465018219264,0.055576457912814424,9,31
North Carolina,County,47,1,0.02127659574468085,0.3531595449484543,47,0.0017780800414630704,-0.031137068153519132,0.03678465018219264,0.055576457912814424,10,31
